ID,Description1,Price1,Price2,Price3,ID_1,Description
CCON-2,COLOR CONDITIONING COMPLEX,2.6,5.2,5.2,CONDITIO,CONDITIONER
MAP-4,MAP COND  4Z [JAR],4.5,10,11,CONDITIO,CONDITIONER
TPC-8,TPC  8Z,4.5,10,11,CONDITIO,CONDITIONER
FRESHHAIR-8,FRESH HAIR 8oz,4.75,10.5,11.5,CONDITIO,CONDITIONER
BSCON-8,BOTAN SILK COND  8Z,5,11,12,CONDITIO,CONDITIONER
CHLCON-8,CHLORIMED SPRAY ON COND  8Z,5,11,12,CONDITIO,CONDITIONER
GIZER-8,PERMAGIZER  8Z,5,11,12,CONDITIO,CONDITIONER
KSCON-8,KIWI SILK CONDITIONER 8Z,5,11,12,CONDITIO,CONDITIONER
PERCON-8,PERMISSION COND  8Z,5,11,12,CONDITIO,CONDITIONER
CCON-8,COLOR CONDITIONING COMPLEX,5.75,12.5,13.5,CONDITIO,CONDITIONER
BSINT-4,BOTAN SILK INTENSE  4Z,6.5,13,15,CONDITIO,CONDITIONER
INSCON-4,INSORB COND  4Z [JAR],7.5,16,17,CONDITIO,CONDITIONER
BSCON-16,BOTAN SILK COND 16Z,9,20,21,CONDITIO,CONDITIONER
GIZER-16,PERMAGIZER 16Z,9,20,21,CONDITIO,CONDITIONER
KSCON-16,KIWI SILK CONDITIONER 16 OUN,9,20,21,CONDITIO,CONDITIONER
PERCON-16,PERMISSION COND 16Z,9,20,21,CONDITIO,CONDITIONER
MAP-16,MAP COND 16Z,10,21,22,CONDITIO,CONDITIONER
CCON-16,COLOR CONDITION COMPLEX 16Z,10.5,23,24,CONDITIO,CONDITIONER
INSCON-16,INSORB COND 16Z,13,28,29,CONDITIO,CONDITIONER
BSCON-32,BOTAN SILK COND 32Z,13.75,30.5,31.5,CONDITIO,CONDITIONER
GIZER-32,PERMAGIZER 32Z,13.75,30.5,31.5,CONDITIO,CONDITIONER
PERCON-32,PERMISSION COND 32Z,13.75,30.5,31.5,CONDITIO,CONDITIONER
FRESHHAIR-32,FRESH HAIR 32 oz,13.75,30.5,31.5,CONDITIO,CONDITIONER
KSCON-34,KIWI SILK CONDITONER - LITER,15,32,33,CONDITIO,CONDITIONER
CHLCON-32,CHLORIMED SPRAY ON COND 32Z,17.75,35.5,39.5,CONDITIO,CONDITIONER
CCON-32,COLOR CONDITIONING COMPLEX 3,18.25,39.5,40.5,CONDITIO,CONDITIONER
TPC-128,TPC GAL                 *,20.45,44.9,45.9,CONDITIO,CONDITIONER
BSCON-128,BOTAN SILK COND GAL       *,37.5,79,80,CONDITIO,CONDITIONER
PERCON-128,PERMISSION COND GAL     *,37.5,79,80,CONDITIO,CONDITIONER
GIZER-128,PERMAGIZER GAL          *,37.5,79.6,80.6,CONDITIO,CONDITIONER
KSCON-128,KIWI SILK CONDITIONER GALLON,40,84,85,CONDITIO,CONDITIONER
MAP-128,MAP COND GAL             *,46.5,97,98,CONDITIO,CONDITIONER
CCON-128,COLOR CARE CONDITIONER GALLO,54,112,113,CONDITIO,CONDITIONER
