ID,Description1,Price1,Price2,Price3,ID_1,Description,Folder,File Name
BIOMIN3,BIOMINOIL 3 PACK,6,0,0,CONDITIO,CONDITIONER,Web Conditioner,Biominoil 3 pack
BSCON-1            *,BOTAN SILK COND  1Z        1,0.55,1.7,1.7,CONDITIO,CONDITIONER,Web Conditioner,Botanical Silk Conditioner 1oz
BSCON-128,BOTAN SILK COND GAL       *,37.5,79,80,CONDITIO,CONDITIONER,Web Conditioner,Botanical Silk Conditioner Gallon
BSCON-16,BOTAN SILK COND 16Z,9,20,21,CONDITIO,CONDITIONER,Web Conditioner,Boatnical Silk Conditioner 16oz
BSCON-2,BOTAN SILK COND  2Z,1.85,3.7,3.7,CONDITIO,CONDITIONER,Web Conditioner,Botanicla Silk Conditioner 2oz
BSCON-32,BOTAN SILK COND 32Z,13.75,30.5,31.5,CONDITIO,CONDITIONER,Web Conditioner,Botanical Silk Conditioner Liter
BSCON-8,BOTAN SILK COND  8Z,5,11,12,CONDITIO,CONDITIONER,Web Conditioner,Botanical Silk Conditioner 8oz
BSINT-4,BOTAN SILK INTENSE  4Z,6.5,13,15,CONDITIO,CONDITIONER,Web Conditioner,
CCON-128,COLOR CARE CONDITIONER GALLO,54,112,113,CONDITIO,CONDITIONER,Web Conditioner,Glazing CC Conditioner Gallon
CCON-16,COLOR CONDITION COMPLEX 16Z,10.5,23,24,CONDITIO,CONDITIONER,Web Conditioner,
CCON-2,COLOR CONDITIONING COMPLEX,2.6,5.2,5.2,CONDITIO,CONDITIONER,Web Conditioner,
CCON-32,COLOR CONDITIONING COMPLEX 3,18.25,39.5,40.5,CONDITIO,CONDITIONER,Web Conditioner,
CCON-8,COLOR CONDITIONING COMPLEX,5.75,12.5,13.5,CONDITIO,CONDITIONER,Web Conditioner,
CHLCON-32,CHLORIMED SPRAY ON COND 32Z,17.75,35.5,39.5,CONDITIO,CONDITIONER,Web Conditioner,
CHLCON-8,CHLORIMED SPRAY ON COND  8Z,5,11,12,CONDITIO,CONDITIONER,Web Conditioner,
FRESHHAIR-2,FRESH HAIR 2oz,1.85,3.7,3.7,CONDITIO,CONDITIONER,Web Conditioner,
FRESHHAIR-32,FRESH HAIR 32 oz,13.75,30.5,31.5,CONDITIO,CONDITIONER,Web Conditioner,
FRESHHAIR-8,FRESH HAIR 8oz,4.75,10.5,11.5,CONDITIO,CONDITIONER,Web Conditioner,
GIZER-128,PERMAGIZER GAL          *,37.5,79.6,80.6,CONDITIO,CONDITIONER,Web Conditioner,Permagizer Leave In Conditioner Gallon
GIZER-16,PERMAGIZER 16Z,9,20,21,CONDITIO,CONDITIONER,Web Conditioner,Permagizer Leave In Conditioner 16oz
GIZER-2,PERMAGIZER  2Z,1.85,3.7,3.7,CONDITIO,CONDITIONER,Web Conditioner,Permagizer Leave In Conditioner 2oz
GIZER-32,PERMAGIZER 32Z,13.75,30.5,31.5,CONDITIO,CONDITIONER,Web Conditioner,Permagizer Leave In Conditioner Liter
GIZER-8,PERMAGIZER  8Z,5,11,12,CONDITIO,CONDITIONER,Web Conditioner,Permagizer Leave In Conditioner 8oz
INSCON-128,INSORB COND GAL           *,73.5,151,152,CONDITIO,CONDITIONER,Web Conditioner,INSORB Gallon
INSCON-16,INSORB COND 16Z,13,28,29,CONDITIO,CONDITIONER,Web Conditioner,INSORB small jar
INSCON-4,INSORB COND  4Z [JAR],7.5,16,17,CONDITIO,CONDITIONER,Web Conditioner,INSORB big jar
KSCON-1            *,KIWI SILK CONDITIONER 1z,0.55,1.7,1.7,CONDITIO,CONDITIONER,Web Conditioner,Kiwi Silk Conditioner 1oz
KSCON-128,KIWI SILK CONDITIONER GALLON,40,84,85,CONDITIO,CONDITIONER,Web Conditioner,Kiwi Silk Conditioner gallon
KSCON-16,KIWI SILK CONDITIONER 16 OUN,9,20,21,CONDITIO,CONDITIONER,Web Conditioner,Kiwi Silk Conditioner 16oz
KSCON-2,KIWI SILK CONDITIONER 2Z,1.85,3.7,3.7,CONDITIO,CONDITIONER,Web Conditioner,Kiwi Silk Conditioner 2oz
KSCON-34,KIWI SILK CONDITONER - LITER,15,32,33,CONDITIO,CONDITIONER,Web Conditioner,Kiwi Silk Conditioner LITER
KSCON-8,KIWI SILK CONDITIONER 8Z,5,11,12,CONDITIO,CONDITIONER,Web Conditioner,Kiwi Silk Conditioner 8oz
MAP-128,MAP COND GAL             *,46.5,97,98,CONDITIO,CONDITIONER,Web Conditioner,
MAP-16,MAP COND 16Z,10,21,22,CONDITIO,CONDITIONER,Web Conditioner,MAP big jar
MAP-4,MAP COND  4Z [JAR],4.5,10,11,CONDITIO,CONDITIONER,Web Conditioner,MAP small jar
PERCON-1           *,PERMISSION COND  1Z,0.55,1.7,1.7,CONDITIO,CONDITIONER,Web Conditioner,Permission Conditioner  1oz
PERCON-128,PERMISSION COND GAL     *,37.5,79,80,CONDITIO,CONDITIONER,Web Conditioner,Permission Conditioner  1oz,gallon
PERCON-16,PERMISSION COND 16Z,9,20,21,CONDITIO,CONDITIONER,Web Conditioner,Permission Conditioner  16oz,
PERCON-2,PERMISSION COND  2Z,1.85,3.7,3.7,CONDITIO,CONDITIONER,Web Conditioner,Permission Conditioner 2oz,
PERCON-32,PERMISSION COND 32Z,13.75,30.5,31.5,CONDITIO,CONDITIONER,Web Conditioner,Permission Conditioner Liter,
PERCON-8,PERMISSION COND  8Z,5,11,12,CONDITIO,CONDITIONER,Web Conditioner,Permission Conditioner 8oz,
PROMO 6 F          *,INSORB,0,0,0,CONDITIO,CONDITIONER,Web Conditioner,,
TPC-128,TPC GAL                 *,20.45,44.9,45.9,CONDITIO,CONDITIONER,Web Conditioner,TPC Gallon,
TPC-8,TPC  8Z,4.5,10,11,CONDITIO,CONDITIONER,Web Conditioner,TPC 8oz,
6115-1,NAIL POLISH,100,100,100,COSMETIC,COSMETICS,,,
6115-12,NAIL POLISH,4.5,0,0,COSMETIC,COSMETICS,,,
6115-129,NAIL POLISH,0,0,0,COSMETIC,COSMETICS,,,
6115-16,NAIL POLISH,0,0,0,COSMETIC,COSMETICS,,,
6115-166,NAIL POLISH,0,0,0,COSMETIC,COSMETICS,,,
6115-169,NAIL POLISH,0,0,0,COSMETIC,COSMETICS,,,
6115-172,NAIL POLISH,0,0,0,COSMETIC,COSMETICS,,,
6115-173,NAIL POLISH,0,0,0,COSMETIC,COSMETICS,,,
6115-174,NAIL POLISH,0,0,0,COSMETIC,COSMETICS
6115-175,NAIL POLISH,0,0,0,COSMETIC,COSMETICS
6115-176,NAIL POLISH,0,0,0,COSMETIC,COSMETICS
6115-177,NAIL POLISH,0,0,0,COSMETIC,COSMETICS
6115-178,NAIL POLISH,0,0,0,COSMETIC,COSMETICS
6115-179,NAIL POLISH,0,0,0,COSMETIC,COSMETICS
6115-181,NAIL POLISH,0,0,0,COSMETIC,COSMETICS
6115-182,NAIL POLISH,0,0,0,COSMETIC,COSMETICS
6115-192,NAIL POLISH,0,0,0,COSMETIC,COSMETICS
6115-193,NAIL POLISH,0,0,0,COSMETIC,COSMETICS
6115-194,NAIL POLISH,0,0,0,COSMETIC,COSMETICS
6115-2,NAIL POLISH,0,0,0,COSMETIC,COSMETICS
6115-3,NAIL POLISH,0,0,0,COSMETIC,COSMETICS
6115-31,NAIL POLISH,0,0,0,COSMETIC,COSMETICS
6115-33,NAIL POLISH,0,0,0,COSMETIC,COSMETICS
6115-37,NAIL POLISH,0,0,0,COSMETIC,COSMETICS
6115-38,NAIL POLISH,0,0,0,COSMETIC,COSMETICS
6115-39,NAIL POLISH,0,0,0,COSMETIC,COSMETICS
6115-49,NAIL POLISH,0,0,0,COSMETIC,COSMETICS
6115-50,NAIL POLISH,0,0,0,COSMETIC,COSMETICS
6115-52,NAIL POLISH,0,0,0,COSMETIC,COSMETICS
6115-57,NAIL POLISH,0,0,0,COSMETIC,COSMETICS
6115-7,NAIL POLISH,0,0,0,COSMETIC,COSMETICS
6115-72,NAIL POLISH,0,0,0,COSMETIC,COSMETICS
6115-76,NAIL POLISH,0,0,0,COSMETIC,COSMETICS
6115-77,NAIL POLISH,0,0,0,COSMETIC,COSMETICS
6115-79,NAIL POLISH,0,0,0,COSMETIC,COSMETICS
6115-80,NAIL POLISH,0,0,0,COSMETIC,COSMETICS
6124-01,LIPSTICK SILVER CASE,5.25,0,0,COSMETIC,COSMETICS
6124-154,LIPSTICK SILVER CASE,5.25,0,0,COSMETIC,COSMETICS
6124-201,LIPSTICK SILVER CASE,5.25,0,0,COSMETIC,COSMETICS
6124-203,LIPSTICK SILVER CASE,5.25,0,0,COSMETIC,COSMETICS
6124-205,LIPSTICK SILVER CASE,5.25,0,0,COSMETIC,COSMETICS
6124-213,LIPSTICK SILVER CASE,5.25,0,0,COSMETIC,COSMETICS
6124-215,LIPSTICK SILVER CASE,5.25,0,0,COSMETIC,COSMETICS
6124-217,LIPSTICK SILVER CASE,5.25,0,0,COSMETIC,COSMETICS
6124-218,LIPSTICK SILVER CASE,5.25,0,0,COSMETIC,COSMETICS
6124-219,LIPSTICK SILVER CASE,5.25,0,0,COSMETIC,COSMETICS
6124-220,LIPSTICK SILVER CASE,5.25,0,0,COSMETIC,COSMETICS
6124-221,LIPSTICK SILVER CASE,5.25,0,0,COSMETIC,COSMETICS
6124-223,LIPSTICK SILVER CASE,5.25,0,0,COSMETIC,COSMETICS
6124-225,LIPSTICK SILVER CASE,5.25,0,0,COSMETIC,COSMETICS
6124-226,LIPSTICK SILVER CASE,5.25,0,0,COSMETIC,COSMETICS
6124-227,LIPSTICK SILVER CASE,5.25,0,0,COSMETIC,COSMETICS
6124-228,LIPSTICK SILVER CASE,5.25,0,0,COSMETIC,COSMETICS
6124-229,LIPSTICK SILVER CASE,5.25,0,0,COSMETIC,COSMETICS
6124-230,LIPSTICK SILVER CASE,5.25,0,0,COSMETIC,COSMETICS
6124-232,LIPSTICK SILVER CASE,5.25,0,0,COSMETIC,COSMETICS
6124-233,LIPSTICK SILVER CASE,5.25,0,0,COSMETIC,COSMETICS
6124-235,LIPSTICK SILVER CASE,5.25,0,0,COSMETIC,COSMETICS
6124-418,LIPSTICK SIILVER CASE,5.25,0,0,COSMETIC,COSMETICS
6124-525,LIPSTICK SILVER CASE,5.25,0,0,COSMETIC,COSMETICS
6333,REMOVER 30 ML,7.5,0,0,COSMETIC,COSMETICS
6348-1,BIG BLUSHER ROUND (TERRE),8,0,0,COSMETIC,COSMETICS
6348-2,BIG BLUSHER ROUND(TERRE),8,0,0,COSMETIC,COSMETICS
6348-3,BIG BLUSHER ROUND (TERRE),8,0,0,COSMETIC,COSMETICS
6348-4,BIG BLUSHER ROUND (TERRE),8,0,0,COSMETIC,COSMETICS
6352-32,SMALL BLUSHER ROUND,9,0,0,COSMETIC,COSMETICS
6352-34,SMALL BLUSHER ROUND,9,0,0,COSMETIC,COSMETICS
6352-37,SMALL BLUSHER ROUND,9,0,0,COSMETIC,COSMETICS
6352-38,SMALL BLUSHER ROUND,9,0,0,COSMETIC,COSMETICS
6352-40,SMALL BLUSHER ROUND,9,0,0,COSMETIC,COSMETICS
6352-41,SMALL BLUSHER ROUND,9,0,0,COSMETIC,COSMETICS
6352-42,SMALL BLUSHER ROUND,9,0,0,COSMETIC,COSMETICS
6352-43,SMALL BLUSHER ROUND,9,0,0,COSMETIC,COSMETICS
6352-44,SMALL BLUSHER ROUND,9,0,0,COSMETIC,COSMETICS
6352-45,SMALL BLUSHER ROUND,9,0,0,COSMETIC,COSMETICS
6352-46,SMALL BLUSHER ROUND,9,0,0,COSMETIC,COSMETICS
6352-47,SMALL BLUSHER ROUND,9,0,0,COSMETIC,COSMETICS
6365-1,WATERPROOF  MASCARA BLACK,5.5,0,0,COSMETIC,COSMETICS
6365-2,WP MASCARA COLOR BLUE,6,0,0,COSMETIC,COSMETICS
6365-3,CREAMY MASCARA COLOR BROWN,6,0,0,COSMETIC,COSMETICS
6380-1,LOOSING POWDER,12.5,0,0,COSMETIC,COSMETICS
6380-2,LOOSING POWDER,12.5,0,0,COSMETIC,COSMETICS
6380-3,LOOSING POWDER,12.5,0,0,COSMETIC,COSMETICS
6380-4,LOOSING POWDER,12.5,0,0,COSMETIC,COSMETICS
6400-1,BLUSH ON TRANSPARENT COVER,7,0,0,COSMETIC,COSMETICS
6400-10,BLUSH ON TRANSPARENT COVER,7,0,0,COSMETIC,COSMETICS
6400-11,BLUSH ON TRANSPARENT COVER,7,0,0,COSMETIC,COSMETICS
6400-12,BLUSH ON TRANSPARENT COVER,7,0,0,COSMETIC,COSMETICS
6400-2,BLUSH ON TRANSPARENT COVER,7,0,0,COSMETIC,COSMETICS
6400-3,BLUSH ON TRANSPARENT COVER,7,0,0,COSMETIC,COSMETICS
6400-4,BLUSH IN TRANSPARENT COVER,7,0,0,COSMETIC,COSMETICS
6400-5,BLUSH ON TRANSPARENT COVER,7,0,0,COSMETIC,COSMETICS
6400-6,BLUSH ON TRANSPARENT COVER,7,0,0,COSMETIC,COSMETICS
6400-7,BLUSH ON TRANSPARENT COVER,7,0,0,COSMETIC,COSMETICS
6400-8,BLUSH ON TRANSPARENT COVER,7,0,0,COSMETIC,COSMETICS
6400-9,BLUSH ON TRANSPARENT COVER,7,0,0,COSMETIC,COSMETICS
6404-1,THE NEW 4 BLUSH-ON,7,0,0,COSMETIC,COSMETICS
6404-2,THE NEW 4 BLUSH-ON,7,0,0,COSMETIC,COSMETICS
6404-3,THE NEW 4 BLUSH-ON,7,0,0,COSMETIC,COSMETICS
6404-4,THE NEW 4 BLUSH-ON,7,0,0,COSMETIC,COSMETICS
6499-1,COMPACT POWDER SILVER CASE,8,0,0,COSMETIC,COSMETICS
6499-2,COMPACT POWDER SILVER CASE,8,0,0,COSMETIC,COSMETICS
6499-3,COMPACT POWDER SILVER CASE,8,0,0,COSMETIC,COSMETICS
6499-4,COMPACT POWDER SILVER CASE,8,0,0,COSMETIC,COSMETICS
6499-5,COMPACT POWDER SILVER CASE,8,0,0,COSMETIC,COSMETICS
6499-6,COMPACT POWDER SILVER CASE,8,0,0,COSMETIC,COSMETICS
6500-1,COMPACT POWDER,9,0,0,COSMETIC,COSMETICS
6500-2,COMPACT POWDER,9,0,0,COSMETIC,COSMETICS
6500-3,COMPACT POWDER,9,0,0,COSMETIC,COSMETICS
6500-4,COMPACT POWDER,9,0,0,COSMETIC,COSMETICS
6506-1,LIQUID EYE LINER BLACK,6.5,0,0,COSMETIC,COSMETICS
6506-2,LIQUID EYE LINER COLOR BLUE,6.5,0,0,COSMETIC,COSMETICS
6506-3,LIQUID EYE LINER COLOR BROWN,6.5,0,0,COSMETIC,COSMETICS
6510-1,FLUID FOUNDATION 30 ML,9.5,0,0,COSMETIC,COSMETICS
6510-10,FLUID FOUNDATION 30 ML,9.5,0,0,COSMETIC,COSMETICS
6510-2,FLUID FOUNDATION 30 ML,9.5,0,0,COSMETIC,COSMETICS
6510-6,FLUID FOUNDATION 30 ML,9.5,0,0,COSMETIC,COSMETICS
6512-1,NO TRANSFER FLUID FOUNDATION,8.75,0,0,COSMETIC,COSMETICS
6512-2,NO TRANSFER FLUID FOUNDATION,8.75,0,0,COSMETIC,COSMETICS
6512-3,NO TRANSFER FLUID FOUNDATION,8.75,0,0,COSMETIC,COSMETICS
6512-4,NO TRANSFER FLUID FOUNDATION,8.75,0,0,COSMETIC,COSMETICS
6519-1,MAKEUP BASE,9,0,0,COSMETIC,COSMETICS
6519-2,MAKEUP BASE,9,0,0,COSMETIC,COSMETICS
6520-1,SOFT MAKE UP FOUNDATION,7,0,0,COSMETIC,COSMETICS
6520-13,SOFT MAKE UP FOUNDATION,7,0,0,COSMETIC,COSMETICS
6520-14,SOFT MAKEUP FOUNDATION,7,0,0,COSMETIC,COSMETICS
6520-2,SOFT MAKE UP FOUNDATION,7,0,0,COSMETIC,COSMETICS
6520-3,SOFT MAKE UP FOUNDATION,7,0,0,COSMETIC,COSMETICS
6520-9,SOFT MAKE UP FOUNDATION,7,0,0,COSMETIC,COSMETICS
6521-1,MAKEUP STICK,9,0,0,COSMETIC,COSMETICS
6521-2,MAKEUP STICK,9,0,0,COSMETIC,COSMETICS
6521-4,MAKEUP STICK,9,0,0,COSMETIC,COSMETICS
6525-1,WET & DRY,9,0,0,COSMETIC,COSMETICS
6525-2,WET & DRY,9,0,0,COSMETIC,COSMETICS
6525-3,WET & DRY,9,0,0,COSMETIC,COSMETICS
6525-4,WET & DRY,9,0,0,COSMETIC,COSMETICS
6601-1,EYE SHADOW DUO,6.5,0,0,COSMETIC,COSMETICS
6601-2,EYE SHADOW DUO,6.5,0,0,COSMETIC,COSMETICS
6601-3,EYE SHADOW DUO,6.5,0,0,COSMETIC,COSMETICS
6601-4,EYE SHADOW DUO,6.5,0,0,COSMETIC,COSMETICS
6601-5,EYE SHADOW DUO,6.5,0,0,COSMETIC,COSMETICS
6601-6,EYE SHADOW DUO,6.5,0,0,COSMETIC,COSMETICS
6604-1,LONG LANSTING EYE SHADOW,4.5,0,0,COSMETIC,COSMETICS
6604-10,LONG LASTING EYE SHADOW,4.5,0,0,COSMETIC,COSMETICS
6604-11,LONG LASTING EYE SHADOW,4.5,0,0,COSMETIC,COSMETICS
6604-12,LONG LASTING EYE SHADOW,4.5,0,0,COSMETIC,COSMETICS
6604-2,LONG LASTING EYE SHADOW,4.5,0,0,COSMETIC,COSMETICS
6604-3,LONG LASTING EYE SHADOW,4.5,0,0,COSMETIC,COSMETICS
6604-4,LONG LASTING EYE SHADOW,4.5,0,0,COSMETIC,COSMETICS
6604-5,LONG LASTING EYE SHADOW,4.5,0,0,COSMETIC,COSMETICS
6604-6,LONG LASTING EYE SHADOW,4.5,0,0,COSMETIC,COSMETICS
6604-7,LONG LASTING EYE SHADOW,4.5,0,0,COSMETIC,COSMETICS
6604-8,LONG LASTING EYE SHADOW,4.5,0,0,COSMETIC,COSMETICS
6604-9,LONG LASTING EYE SHADOW,4.5,0,0,COSMETIC,COSMETICS
6610-1,THE NEW 4 EYE SHADOW,7,0,0,COSMETIC,COSMETICS
6610-2,THE NEW 4 EYE SHADOW,7,0,0,COSMETIC,COSMETICS
6610-3,THE NEW 4 EYE SHADOW,7,0,0,COSMETIC,COSMETICS
6612-1,THE 4 EYE SHADOW,8.5,0,0,COSMETIC,COSMETICS
6612-2,THE 4 EYE SHADOW,8.5,0,0,COSMETIC,COSMETICS
6612-3,THE 4 EYE SHADOW,8.5,0,0,COSMETIC,COSMETICS
6612-4,THE 4 EYE SHADOW,8.5,0,0,COSMETIC,COSMETICS
6612-5,THE 4 EYE SHADOW,8.5,0,0,COSMETIC,COSMETICS
6612-6,THE 4 EYE SHADOW,8.5,0,0,COSMETIC,COSMETICS
6613-1,THE 3 EYE SHADOW,8,0,0,COSMETIC,COSMETICS
6613-2,THE 3 EYE SHADOW,8,0,0,COSMETIC,COSMETICS
6613-3,THE 3 EYE SHADOW,8,0,0,COSMETIC,COSMETICS
6613-4,THE 3 EYE SHADOW,8,0,0,COSMETIC,COSMETICS
2/18/6615,DOUBLE CREAM EYE SHADOW,4.5,0,0,COSMETIC,COSMETICS
2/19/6615,DOUBLE CREAM EYE SHADOW,4.5,0,0,COSMETIC,COSMETICS
2/20/6615,DOUBLE CREAM EYE SHADOW,4.5,0,0,COSMETIC,COSMETICS
2/21/6615,DOUBLE CREAM EYE SHADOW,4.5,0,0,COSMETIC,COSMETICS
6616-12,CREAM EYE SHADOW,4.5,0,0,COSMETIC,COSMETICS
6616-13,CREAM EYE SHADOW,4.5,0,0,COSMETIC,COSMETICS
6616-15,CREAM EYE SHADOW,4.5,0,0,COSMETIC,COSMETICS
6616-16,CREAM EYE SHADOW,4.5,0,0,COSMETIC,COSMETICS
6616-17,CREAM EYE SHADOW,4.5,0,0,COSMETIC,COSMETICS
6616-3,CREAM EYE SHADOW,4.5,0,0,COSMETIC,COSMETICS
6616-5,CREAM EYE SHADOW,4.5,0,0,COSMETIC,COSMETICS
6616-7,CREAM EYE SHADOW,4.5,0,0,COSMETIC,COSMETICS
6616-8,CREAM EYE SHADOW,4.5,0,0,COSMETIC,COSMETICS
6616-9,CREAM EYE SHADOW,4.5,0,0,COSMETIC,COSMETICS
6617-1,PEARL EYE SHADOW,5.5,0,0,COSMETIC,COSMETICS
6617-10,PEARL EYE SHADOW,5.5,0,0,COSMETIC,COSMETICS
6617-11,PEARL EYE SHADOW,5.5,0,0,COSMETIC,COSMETICS
6617-12,PEARL EYE SHADOW,5.5,0,0,COSMETIC,COSMETICS
6617-2,PEARL EYE SHADOW,5.5,0,0,COSMETIC,COSMETICS
6617-3,PEARL EYE SHADOW,5.5,0,0,COSMETIC,COSMETICS
6617-4,PEARL EYE SHADOW,5.5,0,0,COSMETIC,COSMETICS
6617-5,PEARL EYE SHADOW,5.5,0,0,COSMETIC,COSMETICS
6617-6,PEARL EYE SHADOW,5.5,0,0,COSMETIC,COSMETICS
6617-7,PEARL EYE SHADOW,5.5,0,0,COSMETIC,COSMETICS
6617-8,PEARL EYE SHADOW,5.5,0,0,COSMETIC,COSMETICS
6617-9,PEARL EYE SHADOW,5.5,0,0,COSMETIC,COSMETICS
6618,LOOSING GLITER,0,0,0,COSMETIC,COSMETICS
6633-1,STICK COVER,4.5,0,0,COSMETIC,COSMETICS
6633-2,STICK COVER,4.5,0,0,COSMETIC,COSMETICS
6633-3,STICK COVER,4.5,0,0,COSMETIC,COSMETICS
6633-5,STICK COVER,4.5,0,0,COSMETIC,COSMETICS
6633-6,STICK COVER,4.5,0,0,COSMETIC,COSMETICS
6633-7,STICK COVER,4.5,0,0,COSMETIC,COSMETICS
6640-1,COVER PENCIL,3.75,0,0,COSMETIC,COSMETICS
6640-2,COVER PENCIL,3.75,0,0,COSMETIC,COSMETICS
6640-3,COVER PENCIL,3.75,0,0,COSMETIC,COSMETICS
6670-1,LIP GLOSS,4.75,0,0,COSMETIC,COSMETICS
6670-2,LIP GLOSS,4.75,0,0,COSMETIC,COSMETICS
6670-3,LIP GLOSS,4.75,0,0,COSMETIC,COSMETICS
6670-4,LIP GLOSS,4.75,0,0,COSMETIC,COSMETICS
6670-5,LIP GLOSS,4.75,0,0,COSMETIC,COSMETICS
6670-6,LIP GLOSS,4.75,0,0,COSMETIC,COSMETICS
6671-3,LIP SHINE,3.5,0,0,COSMETIC,COSMETICS
6671-4,LIP SHINE,3.5,0,0,COSMETIC,COSMETICS
6671-5,LIP SHINE,3.5,0,0,COSMETIC,COSMETICS
6671-6,LIP SHINE,3.5,0,0,COSMETIC,COSMETICS
6671-7,LIP SHINE,3.5,0,0,COSMETIC,COSMETICS
6671-8,LIP SHINE,3.5,0,0,COSMETIC,COSMETICS
6710-1,EYE SHADOW PENCIL BLACK,3,0,0,COSMETIC,COSMETICS
6710-2,EYE SHADOW PENCIL BROWN,3,0,0,COSMETIC,COSMETICS
6710-3,EYE SHADOW PENCIL SILVER,3,0,0,COSMETIC,COSMETICS
6710-4,EYE SHADOW PENCIL GOLD,3,0,0,COSMETIC,COSMETICS
6710-5,EYE SHADOW PENCIL WHITE,3,0,0,COSMETIC,COSMETICS
1/2/6712,EYE SHADOW DOUBLE PENCIL,4.5,0,0,COSMETIC,COSMETICS
3/4/6712,EYE SHADOW DOUBLE PENCIL,4.5,0,0,COSMETIC,COSMETICS
5/6/6712,EYE SHADOW DOUBLE PENCIL,4.5,0,0,COSMETIC,COSMETICS
6800-1,LIP PENCILS,3,0,0,COSMETIC,COSMETICS
6800-2,LIP PENCILS,3,0,0,COSMETIC,COSMETICS
6800-3,LIP PENCILS,3,0,0,COSMETIC,COSMETICS
6800-4,LIP PENCILS,3,0,0,COSMETIC,COSMETICS
6800-5,LIP PENCILS,3,0,0,COSMETIC,COSMETICS
6800-6,LIP PENCILS,3,0,0,COSMETIC,COSMETICS
6800-7,LIP PENCILS,3,0,0,COSMETIC,COSMETICS
6810,LIPSTICK PENCIL MATT,0,0,0,COSMETIC,COSMETICS
6811-1,LIP CHANGING PENCIL,4.75,0,0,COSMETIC,COSMETICS
6811-2,LIP CHANGING PENCIL,4.75,0,0,COSMETIC,COSMETICS
6811-3,LIP CHANGING PENCIL,4.75,0,0,COSMETIC,COSMETICS
6819               *,GENERAL EXPO,396,0,0,COSMETIC,COSMETICS
6820               *,FOOT FOR GENERAL EXPO,125,0,0,COSMETIC,COSMETICS
6826,EYE SHADOW DUO PALLETE,0,0,0,COSMETIC,COSMETICS
6827,EYE SHADOW TRIO PALLETE,0,0,0,COSMETIC,COSMETICS
6830,PALLETE EYE SHADOW LONG LAST,0,0,0,COSMETIC,COSMETICS
6837               *,SMALL GENERAL DISPLAY,310,0,0,COSMETIC,COSMETICS
6838,BAG FOR SMALL GENERAL DISPLA,0,0,0,COSMETIC,COSMETICS
6841,DISPLAY TESTER EXCL.,0,0,0,COSMETIC,COSMETICS
9001,CREAM EYE SHADOW,0,0,0,COSMETIC,COSMETICS
9002,QUAD WHEEL OF EYE SHADOWS,0,0,0,COSMETIC,COSMETICS
9003,QUAD WHEEL OF BLUSH-ON,0,0,0,COSMETIC,COSMETICS
9004,GLITTER EYE SHADOW,0,0,0,COSMETIC,COSMETICS
9005,MAKE UP CASES,0,0,0,COSMETIC,COSMETICS
9006               *,EYE SHADOW EXPO,0,0,0,COSMETIC,COSMETICS
9007               *,SMALL BEAUTY CASE,0,0,0,COSMETIC,COSMETICS,,
9008,COMPLETE RANGE OF COLORS,0,0,0,COSMETIC,COSMETICS,,
DAYENNE,DAYENNE SKIN CARE SYSTEM,0,0,0,COSMETIC,COSMETICS,,
AFFCG,FACIAL TONING GELEE,10,20,20,FACIAL,FACIAL,,
AFFCL,FACIAL CLEANSING LOTION,10,20,20,FACIAL,FACIAL,,
AFFULLSYSTE,AF FULL SYSTEM,50,100,100,FACIAL,FACIAL,,
AFIP,INSTANT PEEL,25,50,50,FACIAL,FACIAL,                                                                     AMAZING FACE INSTANT PEEL                              A NATURAL ENZYME EXFOLLIANT                               * NON INVASIVE SKIN RESURFACING                               * SAFE EASY TO USE/FOR ALL SKIN TYPES                               * INSTANT VISIBLE RESULTS                               *  GENTLY REMOVES ONLY  DEAD SKIN CELLS                               * PROFITABLE IN SALON TREATMENTS                               * SCIENTIFICALLY TESTED,
AFLEC,EYE AND LIP CREAM,17.5,35,35,FACIAL,FACIAL,,
AFMINISYSTEM,AF MINI SYSTEM,25,50,50,FACIAL,FACIAL,,
AFPHY,PHYTOSOME 2 OUNCE,22.5,45,45,FACIAL,FACIAL,Web Extras,nutri face phytosoem crème 2oz
AFPHY-05,PHYTOSOME CREME HALF OUNCE,6,12,12,FACIAL,FACIAL,Web Extras,nutri face phytosoem crème 2oz
AFTSG,TROPICAL SPA GEL,6,12,12,FACIAL,FACIAL,Web Extras,Amazing Face Tropical Spa Gel
DAYKIT,DAYENNE KIT,0,0,0,FACIAL,FACIAL,,
PROMO 3 D,PROFESSIONAL DEPILATORY FACE,0,0,0,FACIAL,FACIAL,,
3 B2,,6.5,0,0,HAIR A,HAIR ACCESORIES,,
COLOR SWATC,COLOR SWATCH HAIR ACC,25,50,50,HAIR A,HAIR ACCESORIES,,
S10 1,CASCADE W/CLIP-PERM,20,40,40,HAIR A,HAIR ACCESORIES
S10 1/B3,CASCADE W/CLIP-PERM,20,40,40,HAIR A,HAIR ACCESORIES
S10 1/B33,CASCADE W/CLIP-PERM,20,40,40,HAIR A,HAIR ACCESORIES
S10 10/12,CASCADE W/CLIP-PERM,20,40,40,HAIR A,HAIR ACCESORIES
S10 10/25T,CASCADE W/CLIP-PERM,20,40,40,HAIR A,HAIR ACCESORIES
S10 120-220,CASCADE W/CLIP-PERM,20,40,40,HAIR A,HAIR ACCESORIES
S10 12T88,CASCADE W/CLIP-PERM,20,40,40,HAIR A,HAIR ACCESORIES
